mode,workerCount,particleCount,iterations,msPerForce
serial,0,200,30,0.3643734333333332
parallel,1,200,30,1.7454222666666672
parallel,2,200,30,1.2552319666666658
parallel,3,200,30,1.5463061999999979
parallel,4,200,30,1.6731431333333338
serial,0,400,30,1.4019221999999976
parallel,1,400,30,2.8175519666666675
parallel,2,400,30,1.9567791333333313
parallel,3,400,30,2.0902496666666592
parallel,4,400,30,2.2899897666666673
serial,0,600,30,2.518409033333334
parallel,1,600,30,5.169544133333329
parallel,2,600,30,3.158048833333335
parallel,3,600,30,3.2886143666666614
parallel,4,600,30,2.9672707333333315
serial,0,800,30,4.373060933333333
parallel,1,800,30,6.473463766666661
parallel,2,800,30,4.780101500000001
parallel,3,800,30,5.090560133333338
parallel,4,800,30,4.868446533333326
serial,0,1000,30,7.395305599999999
parallel,1,1000,30,10.14783179999998
parallel,2,1000,30,7.944381266666642
parallel,3,1000,30,6.2184495666666715
parallel,4,1000,30,5.935866899999989
serial,0,1200,30,11.910432666666656
parallel,1,1200,30,14.62580273333333
parallel,2,1200,30,10.874192466666681
parallel,3,1200,30,7.898163900000024
parallel,4,1200,30,6.928673466666654
