backend,workerCount,particleCount,iterations,msPerForce,rssWarmupMB,rssAfterRunMB,rssDeltaWarmupMB,rssAfterTerminateMB,heapUsedAfterRunMB
exact,1,1000,25,6.13166428,67.75,67.60546875,23.625,57.0546875,3.9792938232421875
optimized,1,1000,25,6.491978199999998,68.98828125,68.65625,11.93359375,57.6328125,4.035797119140625
approx,1,1000,25,6.4369709199999985,68.91015625,69.1328125,11.27734375,58.01171875,4.0601959228515625
exact,2,1000,25,6.756867200000001,80.92578125,81.7734375,22.9140625,59.6640625,4.092681884765625
optimized,2,1000,25,6.018107239999999,81.78125,82.21875,21.9921875,60.0625,4.126899719238281
approx,2,1000,25,6.02175972,82.4453125,82.40234375,22.3828125,60.28125,4.1522369384765625
exact,3,1000,25,5.601426080000001,94.1484375,94.8046875,33.8671875,61.7890625,4.183082580566406
optimized,3,1000,25,5.129741759999997,94.03515625,94.921875,32.24609375,61.83203125,4.186592102050781
approx,3,1000,25,5.185823959999998,94.88671875,95.14453125,33.0546875,62.0859375,4.1878204345703125
exact,4,1000,25,5.7744449999999965,106.921875,108.078125,44.8359375,64.1484375,4.195137023925781
optimized,4,1000,25,5.92550416,106.3984375,107.8515625,42.25,63.8125,4.204734802246094
approx,4,1000,25,5.490646079999988,107.984375,108.01953125,44.171875,64.0625,4.2060394287109375
exact,5,1000,25,8.431874119999993,120.04296875,121.328125,55.98046875,65.69921875,4.213554382324219
optimized,5,1000,25,9.402471559999995,117.42578125,121.5703125,51.7265625,66.7421875,4.21502685546875
approx,5,1000,25,8.186986240000005,120.78515625,120.9296875,54.04296875,65.90625,4.215995788574219
exact,6,1000,25,8.801345720000027,131.43359375,133.80078125,65.52734375,67.828125,4.223228454589844
optimized,6,1000,25,7.086145159999978,130.5390625,134.03125,62.7109375,67.52734375,4.2368011474609375
approx,6,1000,25,7.727240719999973,133.55859375,133.2734375,66.03125,67.5703125,4.2379150390625
